20130708 064400;1628;1628;1628;1628;3
20130708 064500;1628;1628;1627.75;1628;76
20130708 064600;1628;1628.25;1628;1628;59
20130708 064700;1628;1628.25;1628;1628;9
20130708 064800;1628.25;1628.5;1628;1628.5;195
20130708 064900;1628.5;1628.5;1628.25;1628.25;170
20130708 065000;1628.5;1628.5;1628.25;1628.25;7
20130708 065100;1628.5;1628.75;1628.5;1628.75;107
20130708 065200;1628.75;1628.75;1628.5;1628.75;125
20130708 065300;1628.75;1629;1628.5;1628.75;82
20130708 065400;1628.75;1629;1628.75;1628.75;74
20130708 065500;1629;1629;1628.75;1628.75;14
20130708 065600;1629;1629;1628.75;1629;218
20130708 065700;1629.25;1629.5;1629.25;1629.25;391
20130708 065800;1629.25;1629.5;1629.25;1629.5;200
20130708 065900;1629.5;1629.75;1629.5;1629.5;239
20130708 070000;1629.75;1629.75;1629.25;1629.5;222
20130708 070100;1629.25;1629.5;1628.75;1629;678
20130708 070200;1628.75;1630.5;1628.75;1630.25;1141
20130708 070300;1630.25;1630.75;1630;1630.25;956
20130708 070400;1630.5;1630.75;1630.25;1630.5;499
20130708 070500;1630.5;1630.75;1630;1630.5;340
20130708 070600;1630.25;1630.25;1629.5;1629.5;554
20130708 070700;1629.5;1629.5;1628.5;1628.5;752
20130708 070800;1628.75;1629.25;1628.5;1628.5;375
20130708 070900;1628.5;1629.25;1628.5;1628.75;525
20130708 071000;1628.75;1629.25;1628.25;1629;617
20130708 071100;1628.75;1629;1628.5;1628.75;814
20130708 071200;1628.75;1629.25;1628.5;1628.75;475
20130708 071300;1629;1629.25;1628.75;1629;203
20130708 071400;1629;1629.25;1628.75;1629.25;385
20130708 071500;1629.25;1629.75;1629;1629.75;345
20130708 071600;1629.5;1630.5;1629.25;1630.25;1165
20130708 071700;1630;1631;1630;1630.75;1586
20130708 071800;1630.5;1631;1630.5;1630.75;710
20130708 071900;1630.75;1631;1630.25;1630.5;600
20130708 072000;1630.75;1630.75;1630.5;1630.75;208
20130708 072100;1630.75;1631;1630.75;1631;180
20130708 072200;1630.75;1631;1630.5;1630.75;305
20130708 072300;1630.75;1631;1630.5;1630.75;398
20130708 072400;1630.75;1630.75;1630.25;1630.5;514
20130708 072500;1630.5;1630.75;1630.25;1630.5;289
20130708 072600;1630.5;1630.75;1630.25;1630.75;202
20130708 072700;1630.5;1631;1630.5;1631;276
20130708 072800;1631;1631;1630.25;1630.75;534
20130708 072900;1630.5;1631.5;1630.5;1631;1364
20130708 073000;1631;1631.5;1631;1631.5;620
20130708 073100;1631.5;1631.75;1631.25;1631.5;1087
20130708 073200;1631.25;1631.75;1631.25;1631.75;281
20130708 073300;1631.75;1633;1631.75;1632.5;4596
20130708 073400;1632.75;1633;1632.5;1632.75;772
20130708 073500;1632.75;1633.25;1632.75;1632.75;836
20130708 073600;1632.75;1633.25;1632.75;1633;803
20130708 073700;1633;1633.25;1632.75;1633;406
20130708 073800;1633;1633;1632.75;1633;489
20130708 073900;1632.75;1633;1632.5;1632.75;248
20130708 074000;1633;1633;1632.75;1632.75;197
20130708 074100;1633;1633;1632.75;1633;329
20130708 074200;1633.25;1633.25;1632.5;1632.5;425
20130708 074300;1632.75;1632.75;1632.5;1632.75;105
20130708 074400;1632.5;1633;1632.5;1632.5;539
20130708 074500;1632.75;1632.75;1632.25;1632.5;223
20130708 074600;1632.5;1632.75;1632.25;1632.5;159
20130708 074700;1632.75;1633;1632.5;1632.75;380
20130708 074800;1632.75;1633;1632.25;1632.75;375
20130708 074900;1633;1633.5;1633;1633.25;1402
20130708 075000;1633;1633.25;1632.75;1632.75;118
20130708 075100;1633;1633;1632.75;1633;87
20130708 075200;1633;1633.5;1633;1633.5;753
20130708 075300;1633.25;1633.5;1633;1633.25;507
20130708 075400;1633.25;1633.25;1633;1633.25;403
20130708 075500;1633.5;1633.5;1632.5;1632.5;363
20130708 075600;1632.5;1632.75;1632.5;1632.5;133
20130708 075700;1632.75;1633;1632.5;1633;328
20130708 075800;1632.75;1632.75;1632.25;1632.25;457
20130708 075900;1632.5;1632.5;1632.25;1632.5;378
20130708 080000;1632.5;1632.5;1632.25;1632.5;101
20130708 080100;1632.5;1632.5;1632.25;1632.25;163
20130708 080200;1632.25;1632.5;1632.25;1632.25;127
20130708 080300;1632.25;1632.5;1632.25;1632.25;360
20130708 080400;1632.5;1632.5;1632.25;1632.5;19
20130708 080500;1632.5;1632.75;1632.25;1632.5;270
20130708 080600;1632.5;1632.5;1632.25;1632.5;60
20130708 080700;1632.5;1632.75;1632.25;1632.5;201
20130708 080800;1632.25;1632.75;1632.25;1632.5;191
20130708 080900;1632.75;1632.75;1632.5;1632.5;156
20130708 081000;1632.5;1632.5;1632.25;1632.5;70
20130708 081100;1632.5;1632.5;1632;1632.5;152
20130708 081200;1632.25;1632.5;1632.25;1632.5;143
20130708 081300;1632.5;1632.5;1632;1632.25;168
20130708 081400;1632.25;1632.25;1632;1632.25;15
20130708 081500;1632;1632.25;1632;1632;409
20130708 081600;1632.25;1632.25;1632;1632.25;19
20130708 081700;1632;1632.25;1632;1632;47
20130708 081800;1632.25;1632.25;1631.75;1631.75;387
20130708 081900;1632;1632;1631.25;1631.5;516
20130708 082000;1631.5;1631.75;1631;1631;503
20130708 082100;1631.25;1631.25;1630.75;1631.25;896
20130708 082200;1631.5;1631.75;1631.25;1631.75;446
20130708 082300;1632;1632;1631.5;1632;133
20130708 082400;1632;1632.25;1631.75;1632;307
20130708 082500;1632;1632;1631.75;1632;42
20130708 082600;1632;1632.25;1631.75;1632;168
20130708 082700;1632;1632;1631.25;1631.5;264
20130708 082800;1631.5;1631.75;1631.25;1631.5;82
20130708 082900;1631.5;1631.75;1631.25;1631.75;177
20130708 083000;1631.75;1632;1631.5;1632;80
20130708 083100;1632;1632;1631.75;1631.75;133
20130708 083200;1631.75;1632;1631.75;1631.75;206
20130708 083300;1632;1632.25;1631.75;1632.25;146
20130708 083400;1632.25;1632.5;1632;1632.25;513
20130708 083500;1632.25;1632.5;1632.25;1632.25;195
20130708 083600;1632.25;1632.5;1632;1632.25;274
20130708 083700;1632.25;1632.5;1632;1632.25;52
20130708 083800;1632.5;1632.75;1632;1632;242
20130708 083900;1632.25;1632.5;1632;1632.5;315
20130708 084000;1632.5;1632.5;1632.25;1632.25;207
20130708 084100;1632.5;1632.75;1632.5;1632.5;430
20130708 084200;1632.5;1632.5;1632.25;1632.25;537
20130708 084300;1632.5;1632.5;1632;1632.25;168
20130708 084400;1632.5;1632.75;1632.5;1632.5;142
20130708 084500;1632.5;1633;1632.25;1632.5;522
20130708 084600;1632.25;1632.5;1632.25;1632.5;167
20130708 084700;1632.5;1632.5;1632.25;1632.25;89
20130708 084800;1632.25;1632.25;1631.75;1632;309
20130708 084900;1632;1632;1631.25;1631.25;623
20130708 085000;1631.5;1632.25;1631.5;1632.25;263
20130708 085100;1632.25;1632.75;1632.25;1632.75;542
20130708 085200;1632.5;1632.75;1632.5;1632.75;29
20130708 085300;1632.5;1633;1632.5;1632.75;229
20130708 085400;1632.75;1633.25;1632.75;1633;394
20130708 085500;1633;1633.25;1632.75;1632.75;306
20130708 085600;1632.75;1633;1632.75;1633;354
20130708 085700;1633;1633.25;1632.75;1633.25;261
20130708 085800;1633;1633;1632.75;1633;108
20130708 085900;1633;1633;1632.5;1632.5;258
20130708 090000;1632.75;1632.75;1632.5;1632.75;19
20130708 090100;1632.75;1633.25;1632.5;1633;694
20130708 090200;1633;1633;1632.75;1633;98
20130708 090300;1633;1633.25;1633;1633;109
20130708 090400;1633.25;1633.25;1632.75;1633;234
20130708 090500;1633;1633;1632.5;1632.75;329
20130708 090600;1632.75;1633;1632.75;1632.75;109
20130708 090700;1633;1633.25;1632.75;1632.75;242
20130708 090800;1633;1633.25;1633;1633.25;245
20130708 090900;1633.25;1633.5;1633.25;1633.5;232
20130708 091000;1633.5;1634;1633.5;1633.75;3563
20130708 091100;1633.75;1634.25;1633.75;1634;797
20130708 091200;1634;1634.5;1634;1634.5;921
20130708 091300;1634.5;1634.75;1634.25;1634.5;648
20130708 091400;1634.5;1635;1634.5;1634.75;1659
20130708 091500;1634.5;1634.75;1634.5;1634.75;317
20130708 091600;1634.75;1635;1634.5;1634.5;533
20130708 091700;1634.5;1634.75;1634.25;1634.25;303
20130708 091800;1634.25;1634.5;1634;1634.25;776
20130708 091900;1634.5;1634.5;1634.25;1634.25;369
20130708 092000;1634.25;1634.25;1634;1634.25;61
20130708 092100;1634;1635;1634;1634.75;698
20130708 092200;1634.75;1636;1634.75;1635.75;4359
20130708 092300;1635.75;1635.75;1635.25;1635.75;787
20130708 092400;1635.75;1636;1635.5;1636;743
20130708 092500;1636;1636;1635.5;1635.75;1534
20130708 092600;1635.75;1636;1635.5;1635.75;261
20130708 092700;1636;1637;1635.75;1636.75;4595
20130708 092800;1636.5;1637;1636.25;1636.75;906
20130708 092900;1636.75;1637;1636.5;1636.75;1024
20130708 093000;1636.75;1636.75;1636.25;1636.5;399
20130708 093100;1636.75;1636.75;1636.5;1636.5;338
20130708 093200;1636.5;1636.75;1636.5;1636.75;51
20130708 093300;1636.5;1637;1636.5;1636.75;99
20130708 093400;1636.75;1637.25;1636.75;1637.25;663
20130708 093500;1637;1637.5;1636.5;1637;950
20130708 093600;1636.75;1637;1636.5;1636.5;217
20130708 093700;1636.75;1637;1636.5;1636.75;191
20130708 093800;1636.75;1637;1636.75;1637;387
20130708 093900;1636.75;1637.25;1636.75;1637.25;234
20130708 094000;1637.25;1637.75;1637;1637.5;867
20130708 094100;1637.5;1638;1637.25;1637.5;1122
20130708 094200;1637.75;1637.75;1637;1637;740
20130708 094300;1637;1637.25;1637;1637.25;270
20130708 094400;1637;1637.25;1636.75;1636.75;115
20130708 094500;1637;1637;1636.75;1637;155
20130708 094600;1636.75;1637;1636.75;1636.75;104
20130708 094700;1636.75;1637;1636.75;1636.75;37
20130708 094800;1637;1637;1636.5;1636.5;682
20130708 094900;1636.75;1636.75;1636.5;1636.5;89
20130708 095000;1636.5;1637;1636.25;1636.25;638
20130708 095100;1636.5;1636.5;1636;1636.5;845
20130708 095200;1636.5;1636.5;1636.25;1636.5;60
20130708 095300;1636.5;1636.5;1636;1636.25;208
20130708 095400;1636.25;1636.5;1636;1636.5;201
20130708 095500;1636.5;1636.5;1636.25;1636.5;214
20130708 095600;1636.25;1636.5;1636;1636.25;187
20130708 095700;1636.25;1636.25;1636;1636.25;115
20130708 095800;1636;1636.5;1636;1636.5;381
20130708 095900;1636.5;1636.75;1636.5;1636.75;211
20130708 100000;1636.75;1636.75;1636.5;1636.75;205
20130708 100100;1636.5;1637;1636.25;1636.5;513
20130708 100200;1636.25;1636.5;1636.25;1636.5;275
20130708 100300;1636.25;1636.75;1636.25;1636.5;370
20130708 100400;1636.5;1636.5;1636;1636.25;294
20130708 100500;1636.25;1636.75;1636.25;1636.75;344
20130708 100600;1636.5;1637.25;1636.5;1637.25;965
20130708 100700;1637.5;1637.75;1637.25;1637.75;318
20130708 100800;1637.75;1638;1637.75;1637.75;1545
20130708 100900;1637.75;1637.75;1637.25;1637.5;404
20130708 101000;1637.5;1637.5;1636.75;1636.75;318
20130708 101100;1637;1637.25;1636.75;1636.75;1095
20130708 101200;1636.75;1637;1636.5;1637;332
20130708 101300;1637;1637;1636.75;1637;483
20130708 101400;1637;1637.25;1636.75;1637.25;285
20130708 101500;1637.25;1637.25;1636.75;1637;182
20130708 101600;1636.75;1637;1636.75;1637;246
20130708 101700;1637;1637;1636.75;1637;37
20130708 101800;1637;1637;1636.5;1636.5;828
20130708 101900;1636.75;1637;1636.25;1636.75;267
20130708 102000;1636.75;1636.75;1636;1636.25;631
20130708 102100;1636.25;1636.25;1636;1636;379
20130708 102200;1636;1636.5;1636;1636.5;186
20130708 102300;1636.5;1636.75;1636;1636;300
20130708 102400;1636.25;1636.75;1636.25;1636.75;298
20130708 102500;1636.75;1636.75;1636.5;1636.75;108
20130708 102600;1636.75;1637;1636.75;1637;105
20130708 102700;1637;1637.25;1636.75;1637;274
20130708 102800;1637;1637.25;1636.75;1637;258
20130708 102900;1637;1637;1636.75;1637;60
20130708 103000;1637;1637;1636.5;1636.5;520
20130708 103100;1636.25;1636.5;1636.25;1636.5;651
20130708 103200;1636.5;1636.5;1636.25;1636.25;105
20130708 103300;1636.5;1636.5;1636.25;1636.5;195
20130708 103400;1636.5;1636.5;1636.25;1636.5;184
20130708 103500;1636.5;1636.5;1636.25;1636.5;51
20130708 103600;1636.5;1636.5;1636.25;1636.5;61
20130708 103700;1636.5;1636.5;1636.25;1636.5;51
20130708 103800;1636.5;1636.5;1636.25;1636.5;40
20130708 103900;1636.5;1636.75;1636.25;1636.75;143
20130708 104000;1636.75;1637;1636.75;1636.75;213
20130708 104100;1636.75;1637;1636.75;1637;106
20130708 104200;1637;1637;1636.75;1637;1146
20130708 104300;1637;1637;1636.75;1637;149
20130708 104400;1637;1637;1636.25;1636.75;815
20130708 104500;1636.75;1636.75;1636.5;1636.75;55
20130708 104600;1636.75;1637;1636.75;1637;327
20130708 104700;1636.75;1636.75;1636.5;1636.75;460
20130708 104800;1636.5;1636.75;1636.5;1636.75;38
20130708 104900;1636.75;1636.75;1636.5;1636.75;88
20130708 105000;1636.5;1636.75;1636.25;1636.25;225
20130708 105100;1636.25;1636.25;1635.75;1636;480
20130708 105200;1636;1636.25;1635.75;1635.75;264
20130708 105300;1636;1636;1635.75;1635.75;32
20130708 105400;1636;1636.25;1635.75;1635.75;350
20130708 105500;1635.75;1636.25;1635.75;1636.25;496
20130708 105600;1636.25;1636.25;1635.75;1636.25;274
20130708 105700;1636.25;1636.25;1636;1636;68
20130708 105800;1636;1636.5;1636;1636.5;268
20130708 105900;1636.5;1636.5;1636;1636;446
20130708 110000;1636.25;1636.25;1636;1636;299
20130708 110100;1636;1636.25;1635.75;1636;245
20130708 110200;1636;1636;1636;1636;269
20130708 110300;1636;1636;1635.75;1636;133
20130708 110400;1636;1636.5;1636;1636.25;268
20130708 110500;1636.5;1636.5;1636.25;1636.5;84
20130708 110600;1636.25;1636.75;1636.25;1636.75;443
20130708 110700;1636.5;1636.5;1636.25;1636.5;311
20130708 110800;1636.25;1636.5;1636.25;1636.5;21
20130708 110900;1636.25;1636.5;1636.25;1636.5;34
20130708 111000;1636.5;1636.75;1636.5;1636.75;519
20130708 111100;1636.5;1636.75;1636.5;1636.5;472
20130708 111200;1636.5;1636.5;1636.5;1636.5;46
20130708 111300;1636.5;1636.5;1636.25;1636.5;59
20130708 111400;1636.5;1636.5;1636;1636.25;315
20130708 111500;1636;1636;1635.75;1635.75;237
20130708 111600;1636;1636;1635.75;1635.75;237
20130708 111700;1636;1636;1635.5;1636;757
20130708 111800;1635.75;1636;1635.75;1635.75;494
20130708 111900;1635.75;1636;1635.5;1635.75;948
20130708 112000;1635.75;1636;1635.75;1635.75;412
20130708 112100;1635.75;1635.75;1635.5;1635.5;141
20130708 112200;1635.75;1635.75;1635.5;1635.5;435
20130708 112300;1635.75;1636;1635.75;1635.75;272
20130708 112400;1635.75;1635.75;1635.5;1635.5;941
20130708 112500;1635.5;1636;1635.5;1636;467
20130708 112600;1635.75;1636;1635.75;1635.75;312
20130708 112700;1635.5;1636;1635.5;1635.75;341
20130708 112800;1635.75;1636;1635.75;1636;13
20130708 112900;1636;1636;1635.75;1635.75;392
20130708 113000;1636;1636;1635.75;1636;932
20130708 113100;1635.75;1636.25;1635.75;1636;403
20130708 113200;1635.75;1636;1635.5;1636;327
20130708 113300;1635.75;1635.75;1635.5;1635.5;210
20130708 113400;1635.5;1635.5;1635.25;1635.25;430
20130708 113500;1635;1635.75;1635;1635.5;1049
20130708 113600;1635.5;1635.5;1635.25;1635.5;556
20130708 113700;1635.25;1635.75;1635.25;1635.5;441
20130708 113800;1635.5;1635.75;1635.5;1635.5;416
20130708 113900;1635.25;1635.75;1635.25;1635.75;253
20130708 114000;1635.75;1635.75;1635.5;1635.5;110
20130708 114100;1635.5;1635.75;1635.5;1635.5;273
20130708 114200;1635.5;1635.75;1635.25;1635.75;322
20130708 114300;1635.5;1635.5;1635.25;1635.25;373
20130708 114400;1635.25;1635.25;1635.25;1635.25;84
20130708 114500;1635.25;1635.5;1635;1635.25;196
20130708 114600;1635.25;1635.5;1635.25;1635.5;244
20130708 114700;1635.5;1635.75;1635.25;1635.25;362
20130708 114800;1635.25;1635.5;1635;1635;214
20130708 114900;1635;1635;1635;1635;4
20130708 115000;1635.25;1635.25;1634.5;1635;2908
20130708 115100;1635;1635.25;1634.75;1635.25;531
20130708 115200;1635;1635.5;1634.75;1635.25;673
20130708 115300;1635.5;1635.5;1635.25;1635.25;871
20130708 115400;1635.25;1635.5;1635.25;1635.5;147
20130708 115500;1635.25;1635.75;1635.25;1635.75;181
20130708 115600;1635.5;1635.75;1635.25;1635.75;245
20130708 115700;1635.75;1636.5;1635.75;1636.25;1222
20130708 115800;1636.25;1636.5;1636.25;1636.25;389
20130708 115900;1636.25;1636.5;1636.25;1636.5;144
20130708 120000;1636.5;1636.75;1636.5;1636.5;825
20130708 120100;1636.5;1636.75;1636.5;1636.75;283
20130708 120200;1636.75;1637;1636.5;1636.5;628
20130708 120300;1636.5;1636.75;1636.25;1636.5;711
20130708 120400;1636.5;1636.5;1636;1636;466
20130708 120500;1636.25;1636.5;1636;1636;346
20130708 120600;1636;1636.25;1635.75;1635.75;981
20130708 120700;1635.75;1636.25;1635.75;1636.25;112
20130708 120800;1636;1636;1635.75;1635.75;406
20130708 120900;1635.75;1635.75;1635.5;1635.5;778
20130708 121000;1635.5;1635.75;1635.25;1635.75;392
20130708 121100;1635.5;1636.25;1635.5;1635.75;662
20130708 121200;1635.75;1635.75;1635.25;1635.75;337
20130708 121300;1635.75;1636;1635.5;1636;694
20130708 121400;1636.25;1636.25;1636;1636;297
